artist_id,artist_popularity
0rCcQIjZ7TfeeXyUFBlTAY,41
0rQjJGZLXBq95OA3nSmDj9,42
0rUq829p7JPVGfnSCDpARg,26
0rZRTXEmmPmx6gt92tBqIc,69
0regODbTxcC0qiBxfcpYH3,32
0sL3264UDyQfeO3YA6E16t,1
0tFGlYcMNSsKJx4Gd9SadM,30
0touaoSr4QOLYxBJ9lmGgK,38
0twOLSSglhVvipWIIgX4yM,30
0u1gvgaBg3WjHRFOig5Um7,33
0u6GtibW46tFX7koQ6uNJZ,74
0uGk2czvcpWQA383Im6ajf,63
0ucLPotcQNI7AViFytdhBz,51
0ukXzWp2EMK6CBY5KEYTlj,8
0uqlT7M0lAL931lCyQLkde,41
0vMv24BXeZOK8l3S5SMLri,44
0vR2qb8m9WHeZ5ByCbimq2,78
0vRvGUQVUjytro0xpb26bs,65
0vXtpskNA5slWYQBsjlaJU,30
0vkSMROB6h5BCiGeR78iql,11
0w7HLMvZOHatWVbAKee1zF,64
0wHeZY93Ede0g1jXaWsiFS,49
0wJjQdTIcVB6rkaT30z5R7,29
0wNRzqau5kgRynxF70mxk6,2
0wuyli3IxBlWBUFNPP4saf,32
0xOeVMOz2fVg5BJY3N6akT,67
0xRXCcSX89eobfrshSVdyu,77
0xTcxl35DKXUeYRWqY10w6,48
0xcfx1bbm3GNYmGBHT2hRg,20
0y4czH6DnvpftiSoy7V3HY,63
0yApzRdrUqTGqX9MULdnmV,38
0ySFZq3Wd0SQUyJUzmJAeb,58
0yb46jwm7gqbZXVXZQ8Z1e,63
0yeLsdnHTlx7zINJ51Chmz,11
0z4gvV4rjIZ9wHck67ucSV,80
0zZJhc1T0zBurhnBwQ2fcu,49
104MEXVEEi3z2fwWYiln5D,12
10pMyCRhDkBpyuc38QOlKf,42
117XFtbZPnCI1EYKjYZWJc,65
11BbQejRtdBllUgvOlM3JV,0
11CxpTfZC60MYKjL7HESKR,48
11VAw1gSlLWsc2RS9UcyHk,26
11iQCRz636WFdHj42qxAF6,55
1294QqYm1VuxxjRiL9M0h9,62
12A83CWwFiyXy90ScLWPIe,64
12Chz98pHFMPJEknJQMWvI,75
12Jp4jInGELGsN5jydIbx5,44
12Kgt2eahvxNWhD5PnSUde,53
12LR4TC9cAP9Iz1XbqNqdN,3
12PSlydMSjEHzSCj9X5qv7,61
12U3blX0ilxf0tnejqPDYD,25
12nEr6QOfSKkiTXjEp8tBB,69
12rBrcOPP50qIan8ew4iTP,59
12sBktX9iFMd4xc7GeUg0L,0
12sZnW13tpDIhvsfdRI2Mj,0
12trz2INGglrKMzLmg0y2C,59
1359cXd992MwCyGCgbPDcS,44
137W8MRPWKqSmrBGDBFSop,82
13WCtXTHI3pBzCaTZEfwrM,26
13saZpZnCDWOI9D4IJhp1f,67
14scxEoUN7Dcx1m4EQ7oHe,43
14zUHaJZo1mnYtn6IBRaRP,79
15K8w0bfYieOr55vhSMgJN,62
15UsOTVnJzReFVN1VCnxy4,86
15ZjD8Gus20Miqw3fdOaXX,52
15oiQRdZa4LrpfMbJ2dwzK,40
163tK9Wjr9P9DmM0AVK7lm,76
164Uj4eKjl6zTBKfJLFKKK,82
16Nc36xAtNyQ7BMBcDsaLv,43
16oZKvXb6WkQlVAjwo2Wbg,76
16raqbyWP8xgVIWbm0JbQV,0
17CbKzT0I4256iVuPvrZXr,51
17Do37U0HEbxu1tOrKH8dL,48
181bsRPaVXVlUKXrxwZfHK,78
182Q4fQ8L6UUhWeCUOT8di,10
182llcVnhxpVBBmfSElMHX,42
185m2EJWTIm36MdqguiU8T,45
18H66ckLzDLg2Gt9VoqDXI,36
18KWQQ7tKsUW9akG4QbUDj,24
18RtsuKFWko5JfeMsIi0YP,43
18d60O7A2Kq1WnqXeg3DPJ,0
18eciKrusDglwwZPbopzpJ,2
18wxlqChFTwNsoxNMEG6sN,21
19oF1jBujEkt1LlgH0sNfN,0
19ra5tSw0tWufvUp8GotLo,72
19vSzy8s8Vc04MWTqExkLN,28
1AbJ2cmwK400LSvdvBL5Jc,66
1AhjOkOLkbHUfcHDSErXQs,67
1BQDxj2la520DTeUkjBfIA,12
1BYb2bqPgsx32Ci3HEzuia,29
1BhWF9W2PngtPSyobKg0rP,57
1Bl6wpkWCQ4KVgnASpvzzA,67
1BnwMOgZYu1u38zXGQzM79,22
1BwDWgdDJe3TJXLZkBkpsI,42
1CVvTQ5zWJr1o5tI0LEzAo,2
1CWmF1EcrKoWIbZt9Ivfg2,51
1CbQrKvCpEnekM3QMGJtXK,51
1Cs0zKBU1kc0i8ypK3B9ai,88
1CyAtnOmpHpo7OcTqkLMnR,41
1DUe4IZUNzPmSC07uQqyaL,0
1EUmQM6xgUQLUkJVcvSdey,57
1Ecl9uVEThgbEiJWaPwF7B,40
1EeArivTpzLNCqubV95255,49
1EguSXeFKLoIMOZByJTqw2,27
1EjddlgoBT9qmrqLdPbCTx,40
1EowJ1WwkMzkCkRomFhui7,73
1EtBmvqGOtWnjDgCUFQRqI,56
1Ey0RzzHkjmAiKfPZUeXai,0
1F7MvVKA8aIz7spul2xdl1,23
1Ffb6ejR6Fe5IamqA5oRUF,78
1G9G7WwrXka3Z1r7aIDjI7,74
1GDbiv3spRmZ1XdM1jQbT7,74
1GMPMhz8k6gLNYMGoz9hYB,27
1GbIkmv5H1Ok9Vo2UbDLuE,27
1GthBAWa94fXiOIDwMSjFq,6
1HY2Jd0NmPuamShAr6KMms,85
1HkpK55jsORzgtOURbOeQH,41
1Hr5Adjkxh6ihfsoahOY38,39
1I2O1hTFF1JXLnuvIn2IXl,52
1IAIRAvJCUc01U0doDVKN9,45
1IFBgp2dkXquUYSNEY6hK7,46
1IJ4wDIUWLb0XLmPN79SDj,31
1IQ4CjwKkdARjL5KtYiMt4,39
1IRUBjX6bQWnwupD48ZRgc,40
1IsT0svDOuLxTGUypINQlw,15
1JQLCxphQYlnbokiEvfB8o,42
1JZTStn7PjC7BHda6lAUV5,46
1JygQfeB7OmzophGsgNwSb,52
1KCSPY1glIKqW2TotWuXOR,81
1KNXft7nnRQj82sENi7WGN,56
1KP6TWI40m7p3QBTU6u2xo,67
1KXJUpTiNeMv93LrJbbm7G,57
1KoRj2ZFjBc0xgcgMNBMIX,39
1LZEQNv7sE11VDY3SdxQeN,76
1MEA4GhECn2Tll6cKzesEE,15
1MIVXf74SZHmTIp4V4paH4,68
1MQ48GaF9nanTisRGu3Mtl,56
1McMsnEElThX1knmY4oliG,82
1MpEKr48JzSZMwbifjxu8Z,27
1MwLL0gQq4qgfvzLyve6YT,20
1My8k9XMR2leufMP9LPNmT,5
1NIQyQhhLxI07lSrY00HVB,0
1Nl4T9IMmYtAiblMLKRbpH,35
1OAjDaKgg00KCUYqDe68un,68
1OORPn1eWIuq0yijzRWCZA,4
1OcA65PocQhVxekeEa31WK,24
1OrSb6vu3ybhKsSY50R5HU,30
1OwYxVDNKP9JtSpp5E0uA4,54
1P2LCQpGGunqe7mrhkW5Y3,21
1PDxe3q6OQEkmB9MArLXxx,22
1PI4WlIlSXjbueFblPqWnT,30
1PKErrAhYFdfrDymGHRQRo,64
1PXVcJMUstiJ7sBwu7jEll,11
1Q3BNsDvS2noCepPvn1fS9,10
1QAJqy2dA3ihHBFIHRphZj,80
1QRj3hoop9Mv5VvHQkwPEp,66
1ROS8X4pkNhl5ctWaPEeSM,0
1ROvuasaYCB9PuCY83Ulnt,30
1RyvyyTE3xzB2ZywiAwp0i,90
1S3bSLnu3ozJ95rAWmrAWr,0
1SCWcYnoEh1978ycTDhZoW,46
1SrWbIDP84JcSDr0oTBAQw,54
1SridnvhrGK3S0cfnVcOYR,63
1T0wRBO0CK0vK8ouUMqEl5,64
1TPNC8TFcyC8s5TeSmQT23,34
1U1el3k54VvEUzo3ybLPlM,86
1UOqqaCn0JIkR977k0L4LD,25
1UjxAZqzphB1tsMb1aWBj0,66
1V3b1yyoUUqSPM1QbIyGLb,13
1VBAKMui4zm5MnBWNn3NbL,51
1VBflYyxBhnDc9uVib98rw,66
1VFoktbrbWpcvY68NugA10,7
1VPmR4DJC1PlOtd0IADAO0,85
1VbN1iTiu4spUr0HVK17Rv,14
1VmZ0enkE7FIlIHotMbtPo,11
1W6CJYsw4L401YjdsudVjK,11
1W7FNibLa0O0b572tB2w7t,68
1WHYTMWSXn7ix7PAO82FEX,47
1WO1hFAkFbeo9tV3uVX7Dy,61
1WgXqy2Dd70QQOU7Ay074N,72
1X6cBGnXpEpN7CmflLKmLV,68
1XLWox9w1Yvbodui0SRhUQ,59
1Xfmvd48oOhEWkscWyEbh9,65
1XmQF3YXcIjv9PhNN69v8s,36
1Xp9npgnzvhyogWV8sjOre,0
1Xyo4u8uXC1ZmMpatF05PJ,95
1YAdK3SWGac2Vxd4vaYM8w,4
1YRqgFNXqRyMDRr8ClS1NL,69
1YfEcTuGvBQ8xSD1f53UnK,71
1YlibpAvhJBbMZMBwN1KGv,54
1Z7q2glJYLsPpPoPIgBjdE,50
1ZbYvGN9FcTc6aRFm30oxw,10
1a9GLZX6UUiS0togwq1Viq,29
1adGvsK8A0XG2D18ufk7fZ,57
1anyVhU62p31KFi8MEzkbf,74
1axzeDRNpQsEpb5tJVzCH2,1
1b4DN8Vj0dnj5cceMFsRYN,48
1bqrqSeWJyuwoW91townnc,24
1cNDP5yjU5vjeR8qMf4grg,72
1cNPXWhKfjI0fT5EMCnamR,61
1cYhx7ZOhYoVmnDPb9KMwo,70
1cdXZUfRhXZ8DnwMV4CcS5,47
7bTX1gDDjqXCKoS41qr6IG,22
1d8sE3eKAsuUHShVmIwK6d,30
1dABGukgZ8XKKOdd2rVSHM,74
1dXyyDButMVteLKOOVqz6Z,53
1dfeR4HaWDbWqFHLkxsg1d,84
1dpv0XBdgUa5z4vzn7ahIz,39
1dq0GAzGi7vIwvcREuVKiZ,45
1dqyvasqrPO2j7VS8TOxDl,31
1eMmoIprPDWeFdB1FxU6ZV,65
1ewyVtTZBqFYWIcepopRhp,50
1fYdgyGBrMIEML5cuo5FpZ,54
1fctva4kpRbg2k3v7kwRuS,69
1fvvJI9jOyh1V5Cjb3hbHs,0
1g1yxsNVPhMUl9GrMjEb2o,63
1gEmRPl8SSi7PkKlvxTiIz,17
1gPhS1zisyXr5dHTYZyiMe,73
1gl0S9pS0Zw0qfa14rDD3D,69
1hTxTWi0qO9VGuG9elXEcZ,48
1hUvMU3Sw9PKvnwftPtx8S,41
1htYtUdXVMwR6HCSs821Lc,44
1i0tkBOecnGfxqqqq50Pph,21
1i8SpTcr7yvPOmcqrbnVXY,87
1iAhTm8XMVjvwWArvxgufA,14
1iBxtU5394iPOzmot1FDUD,43
1iJdyDcY98X3GMnUesl7tf,63
1iZ14TVJls7Vh49yEbCBJG,0
1j4IqKoo9teP3cGdB5d1Ut,30
1jSjfSgDjedJdi5MoyRu78,65
1jYb0bxf66vnGdNun4KXhE,31
1juIpte4oHJ5ngVLPTUPuJ,48
1kPCI44Jh0btRRRHjouPSc,42
1kzMgoLmkpbvtrxSZ63k5D,33
1l2ekx5skC4gJH8djERwh1,67
1lMjwB6Jj16Nf2U2xUQlO1,30
1litPnDrAnqfOX7WF448Jc,1
1lmU3giNF3CSbkVSQmLpHQ,62
1lyj6IjojSJrtxNZCATt3Z,45
1lzugG0lqNh9nP6Fp2zG3c,43
1mCY2mHctggfYiEqpCgcSz,37
1mJucMwGjnCatEdVk9eedj,43
1mcTU81TzQhprhouKaTkpq,89
1mfiClklwHVNZySnN2K1Ai,43
1mhqV3TKErQZb0mZDaR0Xo,34
1mlAkvaCrzWSxS2ATBZh27,39
1mmlWsyPJvvxMdabcGJjRn,38
1nFXAWrKAG4VAP8Gd7plzo,7
1nwjHzOUQZsNYX8xoWiGVC,58
1nzgtKYFckznkcVMR3Gg4z,65
1o2NpYGqHiCq7FoiYdyd1x,67
1oWGd65mQ43qogAn2pFQhM,26
1oouccpDDuphc2a5qUBJ50,14
1oxZxW3ta1uFAZBIyclbUG,30
1p8A4FgZDL8Q7o6BO3NwJk,37
1pEZZUBRto2Tid1aaFOzQK,43
1pPmIToKXyGdsCF6LmqLmI,72
1pvGoWFshVrNYxa20W5WlJ,16
1pvvkUMrCemVbHsl0x6yGG,14
1r0zK0jKdLzSbARK0hKZHz,0
1r4hJ1h58CWwUQe3MxPuau,83
1rTvWCId0BHlFKAVipqBVO,48
1t20wYnTiAT0Bs7H1hv9Wt,61
1t2caVgyabZrVDAlmMGraV,56
1tJnPDE5oPDB6ZqMsCTTYx,49
1tM4ox3QsSpl3R2VwLjJ47,52
1tMWkquIkQtVD6vaZlDbSQ,53
1tqZaCwM57UFKjWoYwMLrw,67
1tqhsYv8yBBdwANFNzHtcr,61
1uNFoZAHBGtllmzznpCI3s,89
1uU7g3DNSbsu0QjSEqZtEd,66
1up4lH4bnEUmG9oWaNdiye,17
1v2nDgCQIAgO0tTXWcQbgh,29
1vCWHaC5f2uS3yhpwWbIA6,81
1vPv4IMjXdYC2YooZHqgEa,14
1vVHevk2PD45epYnDi9CCc,61
1vZAPVpvdBFzQX1KIggCLx,16
1vcXQE9gZOF9PCAtdtT51L,41
1vfezMIyCr4XUdYRaKIKi3,67
1vkWdqcabQ1swciXipkLBj,60
1vlFSfoahgg48cLEEARc5H,4
1vo8zHmO1KzkuU9Xxh6J7W,63
1vqR17Iv8VFdzure1TAXEq,72
1vvD9XGQVmNtKsyPW7TFcZ,31
1vyhD5VmyZ7KMfW5gqLgo5,86
1wG6KrT3zgutFeiCddBivH,37
1wGShPr9w3PuMHqowhVqp3,0
1wNmJCRRNn8WpJrRSTKKqT,60
1wdU1J2NHzcDYarT7jEU2A,48
1xxan2om8RkLoKc9R2hzNF,4
1yTFxOE7brYEsqzsd5uR3V,14
1yxSLGMDHlW21z4YXirZDS,80
1z7b1Pr1rSlvWRzsW3HOrS,77
1zNqDE7qDGCsyzJwohVaoX,80
20DZAfCuP1TKZl5KcY7z3Q,67
20V4dlQgbJH5dFBr2edJBC,42
20gOeXI8NLUKdSr9Z4YeD6,33
20gsENnposVs2I4rQ5kvrf,72
20kBxm1SCv4R6XlOzZZwaM,24
21E3waRsmPlU7jZsS13rcj,78
21WS9wngs9AqFckK7yYJPM,68
21ciCl1i66cJdB0owlmyQ8,43
21eDBWuCB3k1jIW33SCKXM,2
223Mhyb0sPNAo3yQHHcQOl,11
22UgSS755ESXV2NfD1BkN5,11
22hWz22JAmIhIEp0u1X01L,63
23Lt1ZWviH3aHMBrxp5MJp,0
23fqKkggKUBHNkbKtXEls4,79
23jjDGqQRQfDdZ8xiz9ILU,41
23tQKPyz9GU1ZuCjH7X9Hw,29
23xCxwjg6Bqwm7rh6n9Kjd,45
23zg3TcAtWQy7J6upgbUnj,79
246dkjvS1zLTtiykXe5h60,89
24BYRlsS8uIO4jA71mJ4Js,65
24CgJHK6T7C5OmUbiLLMjJ,57
24D8gx0257CDd1HAuqNuHu,56
24OOezLAWogOzOGA6zinFo,8
24Sxfn1uAoJmuR9N72drt9,62
24e432msaVQMe5Im63Npxp,19
24euVOj1PCRl5SLjmmfjhX,0
25b7eSZD64Sm8ReHZ1WDc7,54
25p1uAURmIM9Fvf8sBeZ7z,34
25sJFKMqDENdsTF7zRXoif,65
25uXMEYFOltef0wAogakzr,24
25uiPmTg16RbhZWAqwLBy5,75
26HhAGEjD8E9u9EFsVzbvy,21
26T3LtbuGT1Fu9m0eRq5X3,73
